,0,1,2,3,4,5
0,1,4,car,0.9609201550483704,"[1015, 4, 56, 26]",8
1,1,3,car,0.927635908126831,"[922, 2, 52, 27]",8
2,1,7,person,0.9138153195381165,"[1843, 51, 61, 85]",8
3,1,5,car,0.7295688986778259,"[1095, 0, 47, 11]",8
4,1,2,car,0.7295267581939697,"[231, -2, 139, 40]",8
5,1,0,car,0.6011430621147156,"[68, -2, 125, 41]",8
6,2,4,car,0.9606237411499023,"[1015, 4, 56, 25]",8
7,2,3,car,0.9281355738639832,"[922, 2, 52, 27]",8
8,2,7,person,0.9140573740005493,"[1843, 51, 61, 85]",8
9,2,2,car,0.7295195460319519,"[231, -2, 139, 40]",8
10,2,5,car,0.728339672088623,"[1095, 0, 47, 11]",8
11,2,0,car,0.588729739189148,"[68, -2, 126, 41]",8
12,3,2,car,0.9666722416877747,"[1016, 4, 55, 26]",6
13,3,5,person,0.9157447218894958,"[1844, 51, 58, 85]",6
14,3,1,car,0.8971408605575562,"[923, 2, 49, 27]",6
15,3,3,car,0.8817564249038696,"[1095, 0, 51, 13]",6
16,3,0,car,0.5379987359046936,"[231, 0, 141, 37]",6
17,4,2,car,0.932772696018219,"[1017, 3, 54, 27]",7
18,4,6,person,0.9220262169837952,"[1845, 52, 56, 83]",7
19,4,3,car,0.912094235420227,"[1097, 0, 50, 14]",7
20,4,1,car,0.8458656668663025,"[921, 3, 51, 27]",7
21,4,0,car,0.6413467526435852,"[240, 0, 131, 35]",7
22,5,5,car,0.9373696446418762,"[923, 8, 53, 31]",8
23,5,6,car,0.910836398601532,"[1020, 9, 52, 29]",8
24,5,7,person,0.909227728843689,"[1845, 54, 55, 82]",8
25,5,3,car,0.9047957062721252,"[1097, 0, 50, 15]",8
26,5,0,car,0.7267071604728699,"[246, 0, 122, 35]",8
27,5,4,truck,0.5032822489738464,"[63, -3, 135, 51]",8
28,6,4,car,0.9484368562698364,"[922, 8, 55, 33]",7
29,6,5,car,0.9403865337371826,"[1018, 8, 54, 31]",7
30,6,6,person,0.8891052603721619,"[1844, 55, 53, 80]",7
31,6,3,car,0.8804255127906799,"[1100, 1, 49, 16]",7
32,6,0,car,0.6257106065750122,"[249, 0, 117, 35]",7
33,7,3,car,0.9558305740356445,"[1018, 9, 55, 32]",5
34,7,1,car,0.9258308410644531,"[1100, 0, 49, 18]",5
35,7,2,car,0.922012209892273,"[922, 11, 54, 33]",5
36,7,4,person,0.8867136836051941,"[1845, 58, 52, 77]",5
37,7,0,car,0.6059409976005554,"[260, 2, 98, 26]",5
38,8,3,car,0.9714601039886475,"[1018, 11, 54, 32]",5
39,8,2,car,0.9321706891059875,"[921, 9, 53, 36]",5
40,8,1,car,0.914416491985321,"[1103, 0, 47, 18]",5
41,8,4,person,0.8871596455574036,"[1846, 59, 51, 77]",5
42,8,0,car,0.5326223373413086,"[268, 2, 90, 26]",5
43,9,3,car,0.9786320924758911,"[1017, 14, 60, 32]",5
44,9,1,car,0.9309995770454407,"[920, 12, 54, 35]",5
45,9,0,car,0.9189004898071289,"[1104, 0, 50, 20]",5
46,9,4,person,0.8688607811927795,"[1846, 58, 50, 77]",5
47,10,4,car,0.9844436645507812,"[1015, 16, 63, 33]",6
48,10,2,car,0.9551224708557129,"[917, 12, 54, 36]",6
49,10,1,car,0.9314284324645996,"[1105, 1, 50, 22]",6
50,10,5,person,0.8221556544303894,"[1847, 59, 49, 76]",6
51,10,0,car,0.5021116733551025,"[279, 0, 84, 29]",6
52,11,4,car,0.9804977178573608,"[1016, 15, 64, 36]",8
53,11,1,car,0.9299184083938599,"[1108, 1, 52, 25]",8
54,11,2,car,0.927290141582489,"[917, 11, 55, 40]",8
55,11,7,person,0.8109318614006042,"[1847, 60, 46, 74]",8
56,11,0,car,0.5274342894554138,"[282, 0, 81, 29]",8
57,12,3,car,0.9707918167114258,"[1019, 15, 63, 40]",7
58,12,0,car,0.9243160486221313,"[1105, 2, 59, 23]",7
59,12,1,car,0.8296976089477539,"[917, 11, 52, 41]",7
60,12,6,person,0.8008027076721191,"[1847, 58, 46, 75]",7
61,13,4,car,0.9251294732093811,"[1020, 14, 64, 44]",9
62,13,1,car,0.8924349546432495,"[1109, 2, 57, 28]",9
63,13,6,car,0.8762051463127136,"[913, 31, 58, 31]",9
64,13,8,person,0.8363129496574402,"[1846, 56, 47, 77]",9
65,13,0,car,0.6081982851028442,"[995, 2, 48, 16]",9
66,14,9,car,0.9514569044113159,"[1021, 25, 64, 39]",11
67,14,1,car,0.9006804823875427,"[1109, 1, 57, 27]",11
68,14,7,car,0.896917462348938,"[910, 25, 63, 39]",11
69,14,10,person,0.7886163592338562,"[1846, 57, 49, 75]",11
70,14,0,car,0.7181225419044495,"[996, 1, 49, 19]",11
71,15,8,car,0.9862548112869263,"[1021, 27, 64, 38]",11
72,15,7,car,0.9204220771789551,"[904, 17, 67, 53]",11
73,15,10,person,0.7619615793228149,"[1844, 56, 51, 76]",11
74,15,0,car,0.7140539288520813,"[997, 1, 48, 20]",11
75,15,3,car,0.6135367155075073,"[1124, 3, 52, 24]",11
76,16,6,car,0.9838257431983948,"[1019, 29, 69, 40]",9
77,16,4,car,0.8900152444839478,"[906, 27, 60, 41]",9
78,16,8,person,0.8210189938545227,"[1846, 55, 51, 77]",9
79,16,0,car,0.7397149801254272,"[998, 1, 47, 20]",9
80,16,2,car,0.6812589764595032,"[1121, 2, 57, 27]",9
81,17,7,car,0.9816316962242126,"[1020, 29, 67, 42]",10
82,17,6,car,0.91785728931427,"[904, 21, 64, 56]",10
83,17,4,car,0.8449376821517944,"[1114, 2, 71, 42]",10
84,17,9,person,0.8377479910850525,"[1847, 54, 51, 80]",10
85,17,1,car,0.8259689807891846,"[999, 2, 45, 21]",10
86,17,0,car,0.5960170030593872,"[928, 1, 37, 16]",10
87,18,8,car,0.9635929465293884,"[1019, 27, 71, 50]",11
88,18,6,car,0.9589331150054932,"[898, 25, 69, 56]",11
89,18,2,car,0.8539741039276123,"[1016, 2, 53, 20]",11
90,18,10,person,0.8492308855056763,"[1847, 53, 50, 81]",11
91,18,4,car,0.8284955620765686,"[1116, 1, 74, 44]",11
92,18,0,car,0.6501496434211731,"[927, 1, 40, 16]",11
93,19,7,car,0.9677913188934326,"[1022, 31, 69, 49]",10
94,19,5,car,0.9417864680290222,"[899, 27, 66, 56]",10
95,19,1,car,0.9047985076904297,"[1015, 2, 55, 22]",10
96,19,9,person,0.8614727854728699,"[1847, 53, 51, 80]",10
97,19,2,car,0.8386755585670471,"[1119, 3, 68, 42]",10
98,19,0,car,0.7365759015083313,"[925, 0, 43, 18]",10
99,20,6,car,0.9389834403991699,"[1022, 32, 70, 50]",12
100,20,1,car,0.916961133480072,"[1016, 3, 57, 25]",12
101,20,4,car,0.8692713379859924,"[894, 28, 68, 60]",12
102,20,0,car,0.8516981601715088,"[924, 0, 45, 19]",12
103,20,11,person,0.7925078272819519,"[1848, 50, 51, 83]",12
104,20,2,car,0.7856650352478027,"[1123, 7, 63, 40]",12
105,21,10,car,0.9666337966918945,"[1027, 37, 70, 52]",12
106,21,2,car,0.8989121317863464,"[1011, 2, 61, 29]",12
107,21,8,car,0.8716959953308105,"[895, 37, 69, 57]",12
108,21,0,car,0.842617392539978,"[924, 0, 44, 20]",12
109,21,3,car,0.7925544381141663,"[1126, 9, 62, 40]",12
110,21,11,person,0.7667381763458252,"[1848, 49, 51, 82]",12
111,22,10,car,0.9859564900398254,"[1025, 39, 72, 53]",12
112,22,8,car,0.9748913645744324,"[890, 37, 74, 61]",12
113,22,1,car,0.9320298433303833,"[1008, 1, 65, 32]",12
114,22,0,car,0.9122612476348877,"[923, 0, 46, 21]",12
115,22,3,car,0.8938353061676025,"[1124, 6, 70, 51]",12
116,22,11,person,0.7057059407234192,"[1849, 47, 50, 84]",12
117,23,8,car,0.9935806393623352,"[1026, 42, 73, 55]",10
118,23,7,car,0.9603073000907898,"[891, 38, 71, 63]",10
119,23,0,car,0.9077561497688293,"[923, 0, 46, 22]",10
120,23,1,car,0.9048101305961609,"[1006, 0, 68, 36]",10
121,23,4,car,0.834959864616394,"[1129, 6, 66, 53]",10
122,23,9,person,0.6620429158210754,"[1850, 47, 48, 84]",10
123,23,5,car,0.5179325938224792,"[906, 34, 50, 31]",10
124,24,7,car,0.9907143115997314,"[1027, 45, 76, 55]",9
125,24,6,car,0.9566284418106079,"[890, 40, 70, 66]",9
126,24,0,car,0.9337042570114136,"[922, 0, 49, 23]",9
127,24,1,car,0.8375774025917053,"[1007, 0, 68, 37]",9
128,24,4,car,0.8038703799247742,"[1131, 8, 67, 52]",9
129,24,8,person,0.6164636611938477,"[1851, 46, 49, 85]",9
130,25,7,car,0.9703015685081482,"[1029, 47, 71, 58]",11
131,25,0,car,0.9265820384025574,"[921, 2, 53, 23]",11
132,25,6,car,0.9179630875587463,"[891, 41, 67, 66]",11
133,25,2,car,0.8679649829864502,"[1007, 2, 65, 41]",11
134,25,4,car,0.5743514895439148,"[1136, 9, 66, 55]",11
135,25,10,person,0.513076663017273,"[1850, 46, 49, 85]",11
136,26,9,car,0.9732330441474915,"[1028, 57, 72, 55]",12
137,26,7,car,0.952509343624115,"[880, 59, 79, 60]",12
138,26,0,car,0.9367015957832336,"[920, 2, 56, 24]",12
139,26,1,car,0.8114016056060791,"[1012, 2, 62, 43]",12
140,26,2,car,0.7100722789764404,"[1138, 8, 69, 59]",12
141,26,10,person,0.5071235299110413,"[1850, 44, 50, 85]",12
142,27,9,car,0.9858102202415466,"[1026, 55, 78, 63]",12
143,27,8,car,0.9467102289199829,"[879, 53, 79, 71]",12
144,27,0,car,0.9451680183410645,"[919, 2, 58, 26]",12
145,27,3,car,0.7711349725723267,"[1139, 6, 70, 63]",12
146,27,1,car,0.7464796900749207,"[1015, 2, 62, 46]",12
147,27,11,person,0.5506239533424377,"[1851, 45, 49, 84]",12
148,28,8,car,0.9891005158424377,"[1025, 58, 80, 65]",12
149,28,6,car,0.965945839881897,"[875, 56, 83, 73]",12
150,28,0,car,0.941290020942688,"[917, 3, 57, 26]",12
151,28,5,car,0.8797498345375061,"[1148, 16, 71, 66]",12
152,28,3,car,0.7268771529197693,"[1007, 1, 74, 50]",12
153,28,10,person,0.6004064083099365,"[1852, 44, 48, 84]",12
154,28,1,car,0.5011419653892517,"[1103, -2, 59, 13]",12
155,29,6,car,0.9921642541885376,"[1026, 60, 83, 71]",11
156,29,5,car,0.9801842570304871,"[873, 60, 82, 73]",11
157,29,0,car,0.946725070476532,"[917, 3, 58, 26]",11
158,29,4,car,0.9301466941833496,"[1148, 19, 74, 64]",11
159,29,2,car,0.895557701587677,"[1008, 3, 72, 49]",11
160,29,8,person,0.5452272891998291,"[1852, 44, 49, 84]",11
161,30,8,car,0.9819874167442322,"[1022, 63, 90, 75]",14
162,30,7,car,0.9587257504463196,"[869, 63, 83, 74]",14
163,30,5,car,0.9547592401504517,"[1152, 23, 75, 63]",14
164,30,0,car,0.9316586256027222,"[916, 2, 60, 27]",14
165,30,4,car,0.8555627465248108,"[1010, 5, 70, 49]",14
166,30,1,car,0.6851821541786194,"[1107, -2, 53, 15]",14
167,30,10,person,0.6124740839004517,"[1850, 42, 52, 86]",14
168,31,13,car,0.9882988929748535,"[1023, 70, 89, 74]",17
